pix_change,condition,slide_num_adj,pix_adj
3561770.332,barrier,2,6.193952302448525
4271778.798,barrier,3,7.4286637416527554
4651819.088,barrier,4,8.089557401224264
4089593.053,barrier,5,7.111841007582081
4506593.589,barrier,6,7.8370088845993315
5074698.017,barrier,7,8.824947859279355
5223628.424,barrier,8,9.083939245965498
4844785.612,barrier,9,8.425128011964384
5422821.596,barrier,10,9.430338056483027
4776043.282,barrier,11,8.305584449777406
4546110.525,barrier,12,7.905729210141904
4210393.209,barrier,13,7.321913621661102
4565120.403,barrier,14,7.938787567821369
4553860.738,barrier,15,7.919206903867557
4038429.224,barrier,16,7.0228666249304394
3445924.179,barrier,17,5.9924947464524205
4059682.655,barrier,18,7.059826542501391
4212509.219,barrier,19,7.325593383069003
3381826.49,nothing,2,5.881028258903729
3882150.485,nothing,3,6.751096419379521
4296483.591,nothing,4,7.47162561039232
4031697.099,nothing,5,7.0111593958681135
4639716.692,nothing,6,8.068511220089038
5105712.6,nothing,7,8.878882512520867
6466129.029,nothing,8,11.244659552378964
5526230.268,nothing,9,9.610166715358933
5664133.439,nothing,10,9.849981634321091
5079969.27,nothing,11,8.834114618113523
4574287.827,nothing,12,7.954729804883137
3920132.597,nothing,13,6.817147671466333
3760258.053,nothing,14,6.539124327003338
3688629.216,nothing,15,6.414561101836394
3413116.095,nothing,16,5.935441178005009
3009250.871,nothing,17,5.233115732818586
3632366.182,nothing,18,6.316719153450195
3885994.192,nothing,19,6.7577806622148024
2100816.677,straight,2,3.653340075473011
2540182.271,straight,3,4.4174009999304396
2855130.673,straight,4,4.965099250486922
2170487.839,straight,5,3.7744988852949364
2750928.547,straight,6,4.783890767598775
2848838.563,straight,7,4.954157211672231
2861937.389,straight,8,4.976936194003895
3281474.485,straight,9,5.70651517285754
2725385.892,straight,10,4.739471848914858
3071174.187,straight,11,5.34080096515025
2919486.232,straight,12,5.077014176405119
2850562.081,straight,13,4.957154425779076
2950079.175,straight,14,5.130215593697829
3058855.145,straight,15,5.319378034571508
2920139.348,straight,16,5.0781499513077355
2631071.776,straight,17,4.575458708959377
3168435.068,straight,18,5.509938557317752
3096749.694,straight,19,5.3852770137729555
