subid,slidenumber,condition,rawDT,age_months,milliDT,logDT,logDT_win,slide_num_adj,run,slide_type,pix_change,pix_adj
BA41,34,nothing,1.017,50,1017,3.007320953,3.007320953,12,second,within,4574287.827,7.954729805
BA41,35,nothing,0.751,50,751,2.875639937,2.875639937,13,second,within,3920132.597,6.817147671
BA41,36,nothing,0.576,50,576,2.760422483,2.760422483,14,second,within,3760258.053,6.539124327
BA41,37,nothing,1.584,50,1584,3.199755177,3.199755177,15,second,within,3688629.216,6.414561102
BA41,38,nothing,0.951,50,951,2.978180517,2.978180517,16,second,within,3413116.095,5.935441178
BA41,39,nothing,0.654,50,654,2.815577748,2.815577748,17,second,boundary,3009250.871,5.233115733
BA41,40,nothing,0.643,50,643,2.808210973,2.808210973,18,second,within,3632366.182,6.316719153
BA41,41,nothing,0.545,50,545,2.736396502,2.736396502,19,second,within,3885994.192,6.757780662
BC74,3,nothing,2.319,33,2319,3.365300749,3.365300749,2,first,boundary,3381826.49,5.881028259
BC74,4,nothing,0.495,33,495,2.694605199,2.694605199,3,first,within,3882150.485,6.751096419
BC74,5,nothing,0.538,33,538,2.730782276,2.730782276,4,first,within,4296483.591,7.47162561
BC74,6,nothing,0.493,33,493,2.692846919,2.692846919,5,first,within,4031697.099,7.011159396
BC74,7,nothing,0.552,33,552,2.741939078,2.741939078,6,first,within,4639716.692,8.06851122
BC74,8,nothing,0.473,33,473,2.674861141,2.674861141,7,first,within,5105712.6,8.878882513
BC74,9,nothing,0.684,33,684,2.835056102,2.835056102,8,first,within,6466129.029,11.24465955
BC74,10,nothing,1.784,33,1784,3.25139485,3.25139485,9,first,boundary,5526230.268,9.610166715
BC74,11,nothing,0.558,33,558,2.746634199,2.746634199,10,first,within,5664133.439,9.849981634
BC74,12,nothing,0.519,33,519,2.715167358,2.715167358,11,first,within,5079969.27,8.834114618
BC74,13,nothing,0.433,33,433,2.636487896,2.636487896,12,first,within,4574287.827,7.954729805
BC74,14,nothing,0.463,33,463,2.665580991,2.665580991,13,first,within,3920132.597,6.817147671
BC74,15,nothing,0.507,33,507,2.705007959,2.705007959,14,first,within,3760258.053,6.539124327
BC74,16,nothing,0.462,33,462,2.664641976,2.664641976,15,first,within,3688629.216,6.414561102
BC74,17,nothing,0.635,33,635,2.802773725,2.802773725,16,first,within,3413116.095,5.935441178
BC74,18,nothing,0.712,33,712,2.852479994,2.852479994,17,first,boundary,3009250.871,5.233115733
BC74,19,nothing,0.746,33,746,2.872738827,2.872738827,18,first,within,3632366.182,6.316719153
BC74,20,nothing,0.564,33,564,2.751279104,2.751279104,19,first,within,3885994.192,6.757780662
BC74,24,nothing,0.422,33,422,2.625312451,2.625312451,2,second,boundary,3381826.49,5.881028259
BC74,25,nothing,0.508,33,508,2.705863712,2.705863712,3,second,within,3882150.485,6.751096419
BC74,26,nothing,0.631,33,631,2.800029359,2.800029359,4,second,within,4296483.591,7.47162561
BC74,27,nothing,0.637,33,637,2.804139432,2.804139432,5,second,within,4031697.099,7.011159396
BC74,28,nothing,0.722,33,722,2.858537198,2.858537198,6,second,within,4639716.692,8.06851122
BC74,29,nothing,0.492,33,492,2.691965103,2.691965103,7,second,within,5105712.6,8.878882513
BC74,30,nothing,2.71,33,2710,3.432969291,3.432969291,8,second,within,6466129.029,11.24465955
BC74,31,nothing,1.734,33,1734,3.239049093,3.239049093,9,second,boundary,5526230.268,9.610166715
BC74,32,nothing,0.513,33,513,2.710117365,2.710117365,10,second,within,5664133.439,9.849981634
BC74,33,nothing,0.499,33,499,2.698100546,2.698100546,11,second,within,5079969.27,8.834114618
BC74,34,nothing,1.606,33,1606,3.205745541,3.205745541,12,second,within,4574287.827,7.954729805
BC74,35,nothing,0.835,33,835,2.921686475,2.921686475,13,second,within,3920132.597,6.817147671
